央卫webview,#genre#
CCTV6,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=4
CCTV7,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=5
CCTV9,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=6
CCTV10,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=7
CCTV11,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=8
CCTV12,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=9

北京卫视,webview://https://yangshipin.cn/tv/home?pid=600002309
江苏卫视,webview://https://yangshipin.cn/tv/home?pid=600002521
东方卫视,webview://https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,webview://https://yangshipin.cn/tv/home?pid=600002520
湖南卫视,webview://https://yangshipin.cn/tv/home?pid=600002475
湖北卫视,webview://https://yangshipin.cn/tv/home?pid=600002508
广东卫视,webview://https://yangshipin.cn/tv/home?pid=600002485
广西卫视,webview://https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,webview://https://yangshipin.cn/tv/home?pid=600002498
海南卫视,webview://https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,webview://https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,webview://https://yangshipin.cn/tv/home?pid=600002481
四川卫视,webview://https://yangshipin.cn/tv/home?pid=600002516
河南卫视,webview://https://yangshipin.cn/tv/home?pid=600002525
东南卫视,webview://https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,webview://https://yangshipin.cn/tv/home?pid=600002490
江西卫视,webview://https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,webview://https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,webview://https://yangshipin.cn/tv/home?pid=600002532
河北卫视,webview://https://yangshipin.cn/tv/home?pid=600002493
山东卫视,webview://https://yangshipin.cn/tv/home?pid=600002513
天津卫视,webview://https://yangshipin.cn/tv/home?pid=600152137
吉林卫视,webview://https://yangshipin.cn/tv/home?pid=600190405
陕西卫视,webview://https://yangshipin.cn/tv/home?pid=600190400
甘肃卫视,webview://https://yangshipin.cn/tv/home?pid=600190408
宁夏卫视,webview://https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,webview://https://yangshipin.cn/tv/home?pid=600190401
云南卫视,webview://https://yangshipin.cn/tv/home?pid=600190402
山西卫视,webview://https://yangshipin.cn/tv/home?pid=600190407
青海卫视,webview://https://yangshipin.cn/tv/home?pid=600190406
西藏卫视,webview://https://yangshipin.cn/tv/home?pid=600190403
新疆卫视,webview://https://yangshipin.cn/tv/home?pid=600152138
兵团卫视,webview://https://yangshipin.cn/tv/home?pid=600193252

安徽卫视,webview://http://43.129.81.169/live.ahsx.ahtv.cn/live/ahwssx.m3u8
安徽卫视,webview://https://www.ahtv.cn/folder9000/folder20193?channelIndex=0
北京卫视,webview://https://www.brtn.cn/btv/btvsy_index
北京卫视,webview://https://www.btime.com/btv/btvsy_index
北京卫视,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=11
大湾区卫视,webview://https://www.gdtv.cn/tvChannelDetail/51
东方卫视,webview://https://live.kankanews.com/huikan?id=1
甘肃卫视,webview://https://hls.gstv.com.cn/skt649/w0w7k2.m3u8
甘肃卫视,webview://https://www.gstv.com.cn/zxc.jhtml#
广东卫视,webview://https://www.gdtv.cn/tvChannelDetail/43
广西卫视,webview://https://tv.gxtv.cn/channel/channelivePlay_e7a7ab7df9fe11e88bcfe41f13b60c62.html
贵州卫视,webview://https://www.gzstv.com/tv/ch01
海南卫视,webview://http://tc.hnntv.cn/
海南卫视,webview://http://tc.hnntv.cn/zb/28666112.shtml
海南卫视,webview://https://www.hnntv.cn/live.html?playType=livePlay&channelId=13&
海峡卫视,webview://https://www.fjtv.net/folder526/folder536/
海峡卫视,webview://https://live.fjtv.net/hxtv/
河北卫视,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=0
河南卫视,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=14
河南卫视,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=14
河南卫视,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=14
黑龙江卫视,webview://https://idclive.hljtv.com:4430/live/hljws_own.m3u8
黑龙江卫视,webview://https://www.hljtv.com/live/folder418/
湖北卫视,webview://https://news.hbtv.com.cn/app/tv/431
吉林卫视,webview://https://www.jlntv.cn/tv
江苏卫视,webview://https://live.jstv.com
江西卫视,webview://https://www.jxntv.cn/live/#/
康巴卫视,webview://https://www.kangbatv.com/zb_22587/
宁夏卫视,webview://https://www.nxtv.com.cn/tv/ws/
青海卫视,webview://https://www.qhbtv.com/new_index/live/folder2646/
三沙卫视,webview://https://www.hnntv.cn/live.html?playType=livePlay&channelId=5&
三沙卫视,webview://https://www.hnntv.cn/live.html?playType=livePlay&channelId=5&referPage=home
山东卫视,webview://https://v.iqilu.com/live/sdtv/
山西卫视,webview://http://p.ytelc.com/169l/shanxi/shanxi.php?id=shanxi
山西卫视,webview://https://www.sxrtv.com/tv/index.shtml
陕西卫视,webview://http://live.snrtv.com/star
深圳卫视,webview://https://www.sztv.com.cn/dianshi.shtml?id=7867
西藏卫视,webview://http://php.jdshipin.com:8880/xztv.php?id=ws
新疆卫视,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=1
延边卫视,webview://https://www.yb983.com/cys/index.html
云南卫视,webview://https://www.yntv.cn/live.html
浙江少儿,webview://https://www.cztv.com/liveTV/108
浙江卫视,webview://https://www.cztv.com/liveTV/101
浙江卫视,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=12
河北文旅公共,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=6
河北影视剧,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=4
河南梨园,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=16
河北都市,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=3
河北经济生活,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=1
河北农民,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=2
河北少儿,webview://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=5
广东少儿,webview://https://www.gdtv.cn/tvChannelDetail/54
甘肃少儿,webview://https://hls.gstv.com.cn/skt649/79q79j.m3u8
深圳少儿,webview://https://www.sztv.com.cn/dianshi.shtml?id=7881
嘉佳卡通,webview://https://www.gdtv.cn/tvChannelDetail/66
优漫卡通,webview://https://live.jstv.com/?channelId=543
哈哈炫动,webview://https://live.kankanews.com/huikan?id=9
金鹰卡通,webview://https://live.mgtv.com/?channelId=287
五星体育,webview://https://live.kankanews.com/huikan?id=10
农林卫视,webview://http://live.snrtv.com/nl

CCTV4(欧),webview://https://tv.cctv.com/live/cctveurope/
CCTV4(美),webview://https://tv.cctv.com/live/cctvamerica/
CGTN英语,webview://https://yangshipin.cn/tv/home?pid=600014550
CGTN记录,webview://https://yangshipin.cn/tv/home?pid=600084781
CGTN俄语,webview://https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,webview://https://yangshipin.cn/tv/home?pid=600084704
CGTN西语,webview://https://yangshipin.cn/tv/home?pid=600084744
CGTN阿语,webview://https://yangshipin.cn/tv/home?pid=600084782
CCTV风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620
CCTV世界地理频道,webview://https://yangshipin.cn/tv/home?pid=600099637
CCTV风云音乐频道,webview://https://yangshipin.cn/tv/home?pid=600099660
CCTV兵器科技频道,webview://https://yangshipin.cn/tv/home?pid=600099649
CCTV风云足球频道,webview://https://yangshipin.cn/tv/home?pid=600099636
CCTV高尔夫网球频道,webview://https://yangshipin.cn/tv/home?pid=600099659
CCTV女性时尚频道,webview://https://yangshipin.cn/tv/home?pid=600099650
CCTV央视文化精品频道,webview://https://yangshipin.cn/tv/home?pid=600099653
CCTV央视台球频道,webview://https://yangshipin.cn/tv/home?pid=600099652
CCTV电视指南频道,webview://https://yangshipin.cn/tv/home?pid=600099656
CCTV卫生健康频道,webview://https://yangshipin.cn/tv/home?pid=600099651
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
CCTV8K,webview://https://yangshipin.cn/tv/home?pid=600156816
CCTV16-4K,webview://https://yangshipin.cn/tv/home?pid=600099502
CETV1,webview://https://yangshipin.cn/tv/home?pid=600171827
CETV1,webview://https://tv.gxtv.cn/channel/channelivePlay_ffa6b6e1b32b4a16a73eb3ef66f8bfc7.html
CETV2,webview://https://tv.gxtv.cn/channel/channelivePlay_80d0ffb42c114eaf9663708629ff0a3e.html
CETV4,webview://https://tv.gxtv.cn/channel/channelivePlay_67eace939278435bb4bca90800fb4225.html
